Time,Status
11:25:45,No Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,No Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,No Mask
11:25:46,Mask
11:25:46,No Mask
11:25:46,Mask
11:25:47,No Mask
11:25:47,Mask
11:25:47,No Mask
11:25:47,Mask
11:25:47,No Mask
11:25:47,Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:47,No Mask
11:25:48,Mask
11:25:48,Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:48,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:49,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,Mask
11:25:50,No Mask
11:25:50,Mask
11:25:50,Mask
11:25:50,No Mask
11:25:51,Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,Mask
11:25:51,No Mask
11:25:51,Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
11:25:51,No Mask
